Created as New Dataset,Sample 001 By Laboratory Date 16 10 2025
cm-1,A
3281.00,0.0853
3280.00,0.0857
3279.00,0.0861
3278.00,0.0864
3277.00,0.0868
3276.00,0.0871
3275.00,0.0875
3274.00,0.0879
3273.00,0.0882
3272.00,0.0887
3271.00,0.0892
3270.00,0.0897
3269.00,0.0902
3268.00,0.0907
3267.00,0.0912
3266.00,0.0917
3265.00,0.0922
3264.00,0.0929
3263.00,0.0935
3262.00,0.0941
3261.00,0.0946
3260.00,0.0952
3259.00,0.0959
3258.00,0.0966
3257.00,0.0973
3256.00,0.0980
3255.00,0.0985
3254.00,0.0991
3253.00,0.0997
3252.00,0.1004
3251.00,0.1012
3250.00,0.1021
3249.00,0.1028
3248.00,0.1036
3247.00,0.1043
3246.00,0.1051
3245.00,0.1059
3244.00,0.1067
3243.00,0.1075
3242.00,0.1082
3241.00,0.1090
3240.00,0.1097
3239.00,0.1105
3238.00,0.1113
3237.00,0.1119
3236.00,0.1125
3235.00,0.1131
3234.00,0.1137
3233.00,0.1144
3232.00,0.1151
3231.00,0.1159
3230.00,0.1166
3229.00,0.1174
3228.00,0.1182
3227.00,0.1189
3226.00,0.1197
3225.00,0.1205
3224.00,0.1213
3223.00,0.1221
3222.00,0.1229
3221.00,0.1238
3220.00,0.1247
3219.00,0.1255
3218.00,0.1264
3217.00,0.1272
3216.00,0.1280
3215.00,0.1289
3214.00,0.1297
3213.00,0.1305
3212.00,0.1313
3211.00,0.1320
3210.00,0.1328
3209.00,0.1336
3208.00,0.1344
3207.00,0.1352
3206.00,0.1359
3205.00,0.1366
3204.00,0.1373
3203.00,0.1379
3202.00,0.1385
3201.00,0.1389
3200.00,0.1392
3199.00,0.1395
3198.00,0.1398
3197.00,0.1402
3196.00,0.1405
3195.00,0.1408
3194.00,0.1411
3193.00,0.1413
3192.00,0.1415
3191.00,0.1416
3190.00,0.1417
3189.00,0.1418
3188.00,0.1420
3187.00,0.1421
3186.00,0.1420
3185.00,0.1419
3184.00,0.1417
3183.00,0.1417
3182.00,0.1417
3181.00,0.1417
3180.00,0.1417
3179.00,0.1416
3178.00,0.1414
3177.00,0.1411
3176.00,0.1409
3175.00,0.1407
3174.00,0.1405
3173.00,0.1403
3172.00,0.1401
3171.00,0.1399
3170.00,0.1396
3169.00,0.1392
3168.00,0.1390
3167.00,0.1388
3166.00,0.1386
3165.00,0.1383
3164.00,0.1379
3163.00,0.1374
3162.00,0.1370
3161.00,0.1366
3160.00,0.1362
3159.00,0.1357
3158.00,0.1353
3157.00,0.1349
3156.00,0.1345
3155.00,0.1342
3154.00,0.1337
3153.00,0.1333
3152.00,0.1330
3151.00,0.1327
3150.00,0.1326
3149.00,0.1324
3148.00,0.1324
3147.00,0.1323
3146.00,0.1323
3145.00,0.1322
3144.00,0.1322
3143.00,0.1321
3142.00,0.1321
3141.00,0.1322
3140.00,0.1323
3139.00,0.1323
3138.00,0.1323
3137.00,0.1322
3136.00,0.1323
3135.00,0.1324
3134.00,0.1325
3133.00,0.1327
3132.00,0.1328
3131.00,0.1330
3130.00,0.1332
3129.00,0.1332
3128.00,0.1333
3127.00,0.1334
3126.00,0.1334
3125.00,0.1335
3124.00,0.1336
3123.00,0.1337
3122.00,0.1338
3121.00,0.1340
3120.00,0.1342
3119.00,0.1345
3118.00,0.1348
3117.00,0.1352
3116.00,0.1356
3115.00,0.1360
3114.00,0.1363
3113.00,0.1367
3112.00,0.1372
3111.00,0.1378
3110.00,0.1384
3109.00,0.1391
3108.00,0.1399
3107.00,0.1406
3106.00,0.1414
3105.00,0.1422
3104.00,0.1430
3103.00,0.1438
3102.00,0.1445
3101.00,0.1452
3100.00,0.1460
3099.00,0.1470
3098.00,0.1481
3097.00,0.1491
3096.00,0.1500
3095.00,0.1509
3094.00,0.1518
3093.00,0.1527
3092.00,0.1536
3091.00,0.1546
3090.00,0.1556
3089.00,0.1568
3088.00,0.1579
3087.00,0.1590
3086.00,0.1601
3085.00,0.1612
3084.00,0.1624
3083.00,0.1638
3082.00,0.1652
3081.00,0.1668
3080.00,0.1684
3079.00,0.1699
3078.00,0.1715
3077.00,0.1730
3076.00,0.1747
3075.00,0.1764
3074.00,0.1780
3073.00,0.1798
3072.00,0.1815
3071.00,0.1834
3070.00,0.1852
3069.00,0.1870
3068.00,0.1890
3067.00,0.1909
3066.00,0.1928
3065.00,0.1946
3064.00,0.1965
3063.00,0.1984
3062.00,0.2004
3061.00,0.2026
3060.00,0.2050
3059.00,0.2074
3058.00,0.2099
3057.00,0.2122
3056.00,0.2147
3055.00,0.2172
3054.00,0.2200
3053.00,0.2229
3052.00,0.2258
3051.00,0.2289
3050.00,0.2320
3049.00,0.2354
3048.00,0.2390
3047.00,0.2428
3046.00,0.2466
3045.00,0.2506
3044.00,0.2547
3043.00,0.2589
3042.00,0.2633
3041.00,0.2679
3040.00,0.2726
3039.00,0.2775
3038.00,0.2824
3037.00,0.2877
3036.00,0.2933
3035.00,0.2993
3034.00,0.3054
3033.00,0.3118
3032.00,0.3186
3031.00,0.3257
3030.00,0.3331
3029.00,0.3409
3028.00,0.3492
3027.00,0.3581
3026.00,0.3675
3025.00,0.3774
3024.00,0.3879
3023.00,0.3991
3022.00,0.4112
3021.00,0.4243
3020.00,0.4383
3019.00,0.4531
3018.00,0.4688
3017.00,0.4857
3016.00,0.5040
3015.00,0.5237
3014.00,0.5449
3013.00,0.5677
3012.00,0.5924
3011.00,0.6191
3010.00,0.6479
3009.00,0.6789
3008.00,0.7124
3007.00,0.7485
3006.00,0.7872
3005.00,0.8291
3004.00,0.8746
3003.00,0.9238
3002.00,0.9768
3001.00,1.0337
3000.00,1.0948
2999.00,1.1599
2998.00,1.2289
2997.00,1.3020
2996.00,1.3801
2995.00,1.4633
2994.00,1.5510
2993.00,1.6424
2992.00,1.7373
2991.00,1.8354
